Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
8779-QRDMV,1,M,78,No,Yes,No,No,0
7495-OOKFY,1,F,74,No,Yes,Yes,Yes,1
1658-BYGOY,1,M,71,No,Yes,No,Yes,3
4598-XLKNJ,1,F,78,No,Yes,Yes,Yes,1
4846-WHAFZ,1,F,80,No,Yes,Yes,Yes,1
4412-YLTKF,1,F,72,No,Yes,No,Yes,1
0390-DCFDQ,1,F,76,No,Yes,Yes,Yes,2
3445-HXXGF,1,M,66,No,Yes,Yes,No,0
2656-FMOKZ,1,F,70,No,Yes,No,Yes,2
2070-FNEXE,1,F,77,No,Yes,No,Yes,2
0094-OIFMO,1,F,78,No,Yes,No,Yes,1
9947-OTFQU,1,M,65,No,Yes,No,No,0
9514-JDSKI,1,M,77,No,Yes,Yes,No,0
7273-TEFQD,1,M,67,No,Yes,No,No,0
3606-TWKGI,1,M,68,No,Yes,No,No,0
4385-GZQXV,1,F,68,No,Yes,No,No,0
3488-PGMQJ,1,M,66,No,Yes,No,No,0
7534-BFESC,1,M,69,No,Yes,No,No,0
8098-LLAZX,1,F,74,No,Yes,No,No,0
0265-EDXBD,1,M,76,No,Yes,Yes,No,0
2840-XANRC,1,M,77,No,Yes,Yes,No,0
5020-ZSTTY,1,F,70,No,Yes,No,No,0
5804-LEPIM,1,F,74,No,Yes,No,No,0
0623-IIHUG,1,F,77,No,Yes,No,No,0
9057-MSWCO,1,M,71,No,Yes,Yes,No,0
4895-TMWIR,1,M,79,No,Yes,Yes,No,0
0533-BNWKF,1,F,66,No,Yes,Yes,No,0
0334-GDDSO,1,M,77,No,Yes,No,No,0
5564-NEMQO,1,F,80,No,Yes,No,No,0
6235-VDHOM,1,F,77,No,Yes,No,No,0
5609-CEBID,1,F,77,No,Yes,No,No,0
5956-VKDTT,1,F,72,No,Yes,Yes,No,0
0257-ZESQC,1,F,80,No,Yes,Yes,No,0
2865-TCHJW,1,F,74,No,Yes,No,No,0
5192-EBGOV,1,F,68,No,Yes,No,No,0
3419-SNJJD,1,F,78,No,Yes,Yes,No,0
5099-BAILX,1,M,77,No,Yes,Yes,No,0
4913-EHYUI,1,M,80,No,Yes,Yes,No,0
1626-ERCMM,1,M,75,No,Yes,Yes,No,0
5644-PDMZC,1,F,69,No,Yes,No,No,0
4160-AMJTL,1,F,74,No,Yes,No,No,0
0823-HSCDJ,1,M,76,No,Yes,No,No,0
0067-DKWBL,1,M,69,No,Yes,No,No,0
5244-IRFIH,1,M,72,No,Yes,Yes,No,0
2684-EIWEO,1,F,69,No,Yes,No,No,0
6683-VLCTZ,1,M,73,No,Yes,No,No,0
0691-IFBQW,1,F,65,No,Yes,No,No,0
3643-AHCFP,1,M,74,No,Yes,Yes,No,0
9231-ZJYAM,1,F,65,No,Yes,No,No,0
0727-BMPLR,1,F,66,No,Yes,No,No,0
0947-MUGVO,1,M,71,No,Yes,Yes,No,0
0781-LKXBR,1,M,65,No,Yes,No,No,0
1907-UBQFC,1,M,69,No,Yes,No,No,0
6513-EECDB,1,M,75,No,Yes,Yes,No,0
7074-IEVOJ,1,F,75,No,Yes,No,No,0
4750-ZRXIU,1,F,68,No,Yes,No,No,0
7028-DVOIQ,1,M,71,No,Yes,No,No,0
4208-UFFGW,1,M,80,No,Yes,No,No,0
9889-TMAHG,1,M,66,No,Yes,No,No,0
8919-FYFQZ,1,M,73,No,Yes,Yes,No,0
6646-QVXLR,1,M,77,No,Yes,Yes,No,0
9369-XFEHK,1,F,76,No,Yes,Yes,No,0
1374-DMZUI,1,F,65,No,Yes,No,No,0
1989-PRJHP,1,M,75,No,Yes,Yes,No,0
4822-RVYBB,1,M,75,No,Yes,No,No,0
4184-TJFAN,1,F,68,No,Yes,Yes,No,0
4145-UQXUQ,1,F,71,No,Yes,No,No,0
1236-WFCDV,1,M,74,No,Yes,No,No,0
1271-SJBGZ,1,M,77,No,Yes,No,No,0
4441-NIHPT,1,F,73,No,Yes,No,No,0
8999-BOHSE,1,F,68,No,Yes,No,No,0
7029-RPUAV,1,M,74,No,Yes,Yes,No,0
8111-SLLHI,1,M,65,No,Yes,Yes,No,0
5293-WXJAK,1,F,73,No,Yes,Yes,No,0
4086-YQSNZ,1,F,74,No,Yes,Yes,No,0
8399-YNDCH,1,M,80,No,Yes,No,No,0
5565-FILXA,1,F,76,No,Yes,No,No,0
4187-CINZD,1,F,73,No,Yes,No,No,0
6818-WOBHJ,1,F,70,No,Yes,Yes,No,0
9134-CEQMF,1,M,75,No,Yes,Yes,No,0
8519-IMDHU,1,M,74,No,Yes,Yes,No,0
3372-KWFBM,1,M,76,No,Yes,No,No,0
7206-GZCDC,1,F,75,No,Yes,No,No,0
1768-ZAIFU,1,F,74,No,Yes,No,No,0
3793-MMFUH,1,F,73,No,Yes,No,No,0
6567-HOOPW,1,F,69,No,Yes,No,No,0
8621-MNIHH,1,F,75,No,Yes,Yes,No,0
5419-CONWX,1,F,65,No,Yes,No,No,0
7024-OHCCK,1,F,77,No,Yes,No,No,0
5357-TZHPP,1,M,67,No,Yes,No,No,0
0506-LVNGN,1,F,78,No,Yes,No,No,0
9809-IMGCQ,1,M,65,No,Yes,No,No,0
3254-YRILK,1,M,74,No,Yes,No,No,0
0529-ONKER,1,M,70,No,Yes,No,No,0
5240-IJOQT,1,M,69,No,Yes,No,No,0
0661-XEYAN,1,F,76,No,Yes,No,No,0
2660-EMUBI,1,M,71,No,Yes,No,No,0
7675-OZCZG,1,F,76,No,Yes,No,No,0
9391-EOYLI,1,M,77,No,Yes,Yes,No,0
2761-OCIAX,1,M,74,No,Yes,No,No,0
3068-OMWZA,1,M,77,No,Yes,No,No,0
4154-AQUGT,1,M,76,No,Yes,Yes,No,0
8017-LXHFA,1,F,77,No,Yes,No,No,0
4248-QPAVC,1,F,80,No,Yes,Yes,No,0
4690-LLKUA,1,M,68,No,Yes,No,No,0
9490-DFPMD,1,F,79,No,Yes,No,No,0
8580-AECUZ,1,M,65,No,Yes,No,No,0
5047-LHVLY,1,M,68,No,Yes,No,No,0
7279-BUYWN,1,F,66,No,Yes,No,No,0
7156-MHUGY,1,M,68,No,Yes,No,No,0
9606-PBKBQ,1,M,69,No,Yes,Yes,No,0
3536-IQCTX,1,M,76,No,Yes,Yes,No,0
3132-TVFDZ,1,M,70,No,Yes,Yes,No,0
8080-DDEMJ,1,M,71,No,Yes,No,No,0
6702-OHFWR,1,M,75,No,Yes,No,No,0
4510-PYUSH,1,F,67,No,Yes,No,No,0
8840-DQLGN,1,F,65,No,Yes,Yes,No,0
4193-ORFCL,1,F,80,No,Yes,No,No,0
7776-QWNFX,1,M,71,No,Yes,Yes,No,0
6689-TCZHQ,1,F,70,No,Yes,No,No,0
9497-QCMMS,1,M,73,No,Yes,No,No,0
3424-NMNBO,1,M,78,No,Yes,Yes,No,0
4514-GFCFI,1,F,76,No,Yes,No,No,0
8000-REIQB,1,F,73,No,Yes,No,No,0
4795-KTRTH,1,F,68,No,Yes,Yes,No,0
9961-JBNMK,1,M,79,No,Yes,No,No,0
6179-GJPSO,1,F,67,No,Yes,No,No,0
8290-YWKHZ,1,F,69,No,Yes,Yes,No,0
8051-HJRLT,1,F,72,No,Yes,No,No,0
4021-RQSNY,1,M,75,No,Yes,Yes,No,0
9061-TIHDA,1,M,67,No,Yes,Yes,No,0
8699-ASUFO,1,M,72,No,Yes,Yes,No,0
4695-WJZUE,1,F,68,No,Yes,No,No,0
3988-RQIXO,1,F,68,No,Yes,No,No,0
5931-FLJJF,1,M,75,No,Yes,Yes,No,0
3207-OYBWH,1,M,74,No,Yes,Yes,No,0
7216-EWTRS,1,F,78,No,Yes,Yes,No,0
2528-HFYZX,1,M,66,No,Yes,Yes,No,0
4140-MUHUG,1,F,73,No,Yes,No,No,0
1587-FKLZB,1,M,79,No,Yes,Yes,No,0
5440-FLBQG,1,M,69,No,Yes,Yes,No,0
2774-LVQUS,1,F,65,No,Yes,Yes,No,0
4612-THJBS,1,F,68,No,Yes,No,No,0
4094-NSEDU,1,F,79,No,Yes,No,No,0
1846-XWOQN,1,F,80,No,Yes,No,No,0
3757-NJYBX,1,M,77,No,Yes,Yes,No,0
9898-KZQDZ,1,F,65,No,Yes,Yes,No,0
8263-JQAIK,1,M,66,No,Yes,No,No,0
2205-YMZZJ,1,M,75,No,Yes,No,No,0
1254-IZEYF,1,F,74,No,Yes,No,No,0
9221-OTIVJ,1,F,80,No,Yes,No,No,0
5908-QMGOE,1,M,74,No,Yes,No,No,0
0397-GZBBC,1,M,70,No,Yes,Yes,No,0
7641-EUYET,1,M,76,No,Yes,Yes,No,0
8922-LIEGH,1,F,72,No,Yes,No,No,0
8245-UMPYT,1,F,66,No,Yes,No,No,0
5186-SAMNZ,1,M,75,No,Yes,No,No,0
5373-SFODM,1,M,65,No,Yes,Yes,No,0
0022-TCJCI,1,M,79,No,Yes,No,No,0
5130-IEKQT,1,M,73,No,Yes,No,No,0
3269-ATYWD,1,M,79,No,Yes,No,No,0
0354-WYROK,1,F,70,No,Yes,Yes,No,0
7576-OYWBN,1,M,71,No,Yes,No,No,0
5539-TMZLF,1,M,69,No,Yes,No,No,0
3336-JORSO,1,F,70,No,Yes,No,No,0
6861-XWTWQ,1,M,71,No,Yes,Yes,No,0
4283-FUTGF,1,M,67,No,Yes,No,No,0
2397-BRLOM,1,M,67,No,Yes,Yes,No,0
8510-AWCXC,1,F,69,No,Yes,No,No,0
8225-BTJAU,1,M,75,No,Yes,No,No,0
1724-BQUHA,1,M,67,No,Yes,No,No,0
4826-XTSOH,1,M,66,No,Yes,Yes,No,0
2408-WITXK,1,F,67,No,Yes,No,No,0
2634-HCZGT,1,M,71,No,Yes,Yes,No,0
7503-QQRVF,1,M,74,No,Yes,Yes,No,0
0709-TVGUR,1,F,70,No,Yes,No,No,0
3001-CBHLQ,1,M,76,No,Yes,Yes,No,0
4102-OQUPX,1,M,67,No,Yes,Yes,No,0
3999-QGRJH,1,M,80,No,Yes,No,No,0
2454-RPBRZ,1,F,67,No,Yes,Yes,No,0
2265-CYWIV,1,F,68,No,Yes,Yes,No,0
4550-VBOFE,1,M,69,No,Yes,Yes,No,0
7409-KIUTL,1,F,80,No,Yes,No,No,0
1732-VHUBQ,1,F,73,No,Yes,Yes,No,0
0679-IDSTG,1,F,73,No,Yes,Yes,No,0
8802-UNOJF,1,M,65,No,Yes,No,No,0
6313-GIDIT,1,M,73,No,Yes,No,No,0
2845-AFFTX,1,M,78,No,Yes,Yes,No,0
2815-CPTUL,1,M,68,No,Yes,No,No,0
1891-FZYSA,1,M,65,No,Yes,Yes,No,0
9685-WKZGT,1,M,67,No,Yes,No,No,0
6022-UGGSO,1,F,70,No,Yes,No,No,0
3923-CSIHK,1,F,69,No,Yes,Yes,No,0
3677-IYRBF,1,F,73,No,Yes,No,No,0
8118-LSUEL,1,M,74,No,Yes,No,No,0
5277-ZLOOR,1,F,78,No,Yes,No,No,0
4248-HCETZ,1,M,77,No,Yes,Yes,No,0
9174-FKWZE,1,F,70,No,Yes,No,No,0
5307-DZCVC,1,F,78,No,Yes,Yes,No,0
8679-JOEVF,1,F,75,No,Yes,No,No,0
4803-AXVYP,1,F,75,No,Yes,No,No,0
5649-ANRML,1,M,76,No,Yes,No,No,0
7395-IGJOS,1,M,70,No,Yes,Yes,No,0
7890-VYYWG,1,M,67,No,Yes,Yes,No,0
9907-SWKKF,1,F,69,No,Yes,No,No,0
6397-JNZZG,1,F,70,No,Yes,Yes,No,0
7779-LGOVN,1,M,74,No,Yes,Yes,No,0
9710-ZUSHQ,1,F,77,No,Yes,No,No,0
3902-FOIGH,1,M,66,No,Yes,Yes,No,0
3318-OSATS,1,M,70,No,Yes,No,No,0
2636-ALXXZ,1,F,68,No,Yes,No,No,0
9885-CSMWE,1,F,65,No,Yes,No,No,0
8058-JMEQO,1,F,76,No,Yes,No,No,0
7657-DYEPJ,1,M,73,No,Yes,No,No,0
8276-MQBYC,1,M,70,No,Yes,No,No,0
6015-VVHHE,1,F,68,No,Yes,No,No,0
2516-VQRRV,1,F,77,No,Yes,No,No,0
7580-UGXNC,1,F,73,No,Yes,No,No,0
5178-LMXOP,1,M,71,No,Yes,Yes,No,0
7056-IMHCC,1,M,69,No,Yes,Yes,No,0
8749-JMNKX,1,M,80,No,Yes,Yes,No,0
0917-EZOLA,1,M,66,No,Yes,Yes,No,0
8414-MYSHR,1,M,79,No,Yes,No,No,0
4988-IQIGL,1,M,80,No,Yes,No,No,0
4706-AXVKM,1,F,78,No,Yes,No,No,0
5889-JTMUL,1,F,67,No,Yes,Yes,No,0
9026-RNUJS,1,M,73,No,Yes,No,No,0
6210-KBBPI,1,M,67,No,Yes,No,No,0
2260-USTRB,1,F,75,No,Yes,No,No,0
8623-TMRBY,1,M,80,No,Yes,Yes,No,0
6900-PXRMS,1,M,72,No,Yes,Yes,No,0
3346-BRMIS,1,F,70,No,Yes,Yes,No,0
2722-JMONI,1,F,73,No,Yes,Yes,No,0
7579-OOPEC,1,F,75,No,Yes,Yes,No,0
1771-OADNZ,1,M,70,No,Yes,Yes,No,0
0612-RTZZA,1,F,77,No,Yes,No,No,0
4433-JCGCG,1,M,80,No,Yes,Yes,No,0
9488-HGMJH,1,F,78,No,Yes,No,No,0
4818-QIUFN,1,F,69,No,Yes,No,No,0
6961-VCPMC,1,M,71,No,Yes,Yes,No,0
4424-TKOPW,1,M,70,No,Yes,No,No,0
4201-JMNGR,1,F,66,No,Yes,No,No,0
1866-RZZQS,1,M,77,No,Yes,No,No,0
8631-NBHFZ,1,M,71,No,Yes,Yes,No,0
4958-XCBDQ,1,M,68,No,Yes,No,No,0
8337-UPOAQ,1,M,71,No,Yes,Yes,No,0
6712-OAWRH,1,F,79,No,Yes,No,No,0
5914-DVBWJ,1,F,80,No,Yes,No,No,0
8644-XLFBW,1,M,65,No,Yes,No,No,0
1833-VGRUM,1,F,70,No,Yes,No,No,0
8374-XGEJJ,1,M,68,No,Yes,Yes,No,0
6946-LMSQS,1,M,80,No,Yes,Yes,No,0
4039-HEUNW,1,M,77,No,Yes,Yes,No,0
0812-WUPTB,1,M,65,No,Yes,Yes,No,0
2403-BCASL,1,M,66,No,Yes,Yes,No,0
3871-IKPYH,1,M,70,No,Yes,No,No,0
1304-NECVQ,1,F,69,No,Yes,No,No,0
5655-JSMZM,1,M,66,No,Yes,No,No,0
4505-EXZHB,1,F,75,No,Yes,No,No,0
8972-HJWNV,1,F,75,No,Yes,Yes,No,0
2860-RANUS,1,F,67,No,Yes,No,No,0
0406-BPDVR,1,F,75,No,Yes,Yes,No,0
5276-KQWHG,1,F,74,No,Yes,No,No,0
9667-EQRXU,1,F,74,No,Yes,No,No,0
0946-CLJTI,1,M,67,No,Yes,Yes,No,0
0324-BRPCJ,1,F,74,No,Yes,Yes,No,0
9189-JWSHV,1,F,69,No,Yes,Yes,No,0
0576-WNXXC,1,M,70,No,Yes,Yes,No,0
5482-PLVPE,1,F,79,No,Yes,No,No,0
4902-OHLSK,1,F,76,No,Yes,No,No,0
0495-ZBNGW,1,M,78,No,Yes,Yes,No,0
2357-COQEK,1,F,79,No,Yes,No,No,0
2034-CGRHZ,1,M,73,No,Yes,No,No,0
9360-AHGNL,1,F,74,No,Yes,Yes,No,0
5485-WUYWF,1,M,73,No,Yes,No,No,0
2632-UCGVD,1,M,71,No,Yes,Yes,No,0
6425-YQLLO,1,F,68,No,Yes,Yes,No,0
2091-RFFBA,1,F,70,No,Yes,No,No,0
6899-PPEEA,1,F,66,No,Yes,No,No,0
4597-NUCQV,1,M,65,No,Yes,No,No,0
3754-DXMRT,1,M,78,No,Yes,No,No,0
7130-VTEWQ,1,F,74,No,Yes,No,No,0
7903-CMPEY,1,M,78,No,Yes,Yes,No,0
