ID,Zip Code,Population
1,90001,54492
2,90002,44586
3,90003,58198
4,90004,67852
5,90005,43019
6,90006,62784
7,90007,45025
8,90008,30852
9,90010,1957
10,90011,101215
11,90012,30596
12,90013,9732
13,90014,3524
14,90015,15140
15,90016,46984
16,90017,20692
17,90018,47143
18,90019,67520
19,90020,42394
20,90021,3012
21,90022,68701
22,90023,47487
23,90024,44150
24,90025,41175
25,90026,73686
26,90027,48727
27,90028,30568
28,90029,41713
29,90031,38415
30,90032,46960
31,90033,49431
32,90034,58218
33,90035,27799
34,90036,32901
35,90037,56709
36,90038,32562
37,90039,29310
38,90040,9805
39,90041,27866
40,90042,64672
41,90043,44764
42,90044,87383
43,90045,39334
44,90046,49839
45,90047,47107
46,90048,21739
47,90049,33523
48,90056,8115
49,90057,44004
50,90058,3642
51,90059,38128
52,90061,24511
53,90062,29299
54,90063,55668
55,90064,24505
56,90065,47534
57,90066,55204
58,90067,2527
59,90068,21728
60,90069,20408
61,90071,21
62,90077,10470
63,90201,105285
64,90210,21397
65,90211,8321
66,90212,11355
67,90220,47305
68,90221,51387
69,90222,29825
70,90230,31963
71,90232,15195
72,90240,24908
73,90241,40152
74,90242,42459
75,90245,16041
76,90247,47758
77,90248,9960
78,90249,26442
79,90250,93315
80,90254,18693
81,90255,78114
82,90260,33300
83,90262,69850
84,90263,11
85,90265,19630
86,90266,33758
87,90270,28094
88,90272,22548
89,90274,24979
90,90275,41263
91,90277,34191
92,90278,37322
93,90280,96267
94,90290,5451
95,90291,31021
96,90292,18058
97,90293,11264
98,90301,37527
99,90302,30779
100,90303,27778
101,90304,28680
102,90305,13779
103,90401,5221
104,90402,11509
105,90403,23559
106,90404,19975
107,90405,26099
108,90501,40705
109,90502,17058
110,90503,41979
111,90504,31678
112,90505,34873
113,90601,32050
114,90602,26265
115,90603,19109
116,90604,37887
117,90605,38181
118,90606,32148
119,90620,44442
120,90621,33528
121,90623,15505
122,90630,47344
123,90631,67354
124,90638,47568
125,90640,62425
126,90650,103214
127,90660,63288
128,90670,16271
129,90680,29694
130,90701,16398
131,90703,51556
132,90704,3699
133,90706,72893
134,90710,24660
135,90712,30173
136,90713,27563
137,90715,20890
138,90716,14852
139,90717,21065
140,90720,21343
141,90723,55306
142,90731,58639
143,90732,21279
144,90740,24180
145,90742,1107
146,90743,174
147,90744,53323
148,90745,55486
149,90746,25566
150,90802,38427
151,90803,31352
152,90804,43467
153,90805,91664
154,90806,49647
155,90807,31556
156,90808,37417
157,90810,35656
158,90813,63136
159,90814,19034
160,90815,38902
161,90822,425
162,91001,36243
163,91006,30028
164,91007,30933
165,91010,27414
166,91011,20200
167,91016,41067
168,91020,7527
169,91024,10558
170,91030,23984
171,91040,18752
172,91042,26753
173,91101,16812
174,91103,27891
175,91104,38460
176,91105,10253
177,91106,23742
178,91107,32369
179,91108,13158
180,91201,23981
181,91202,21990
182,91203,14493
183,91204,17015
184,91205,41390
185,91206,31297
186,91207,9864
187,91208,16910
188,91214,29110
189,91301,25303
190,91302,23661
191,91303,23519
192,91304,49242
193,91306,43857
194,91307,23637
195,91311,35325
196,91316,27614
197,91320,37779
198,91321,30742
199,91324,25751
200,91325,32307
201,91326,28067
202,91331,97318
203,91335,68018
204,91340,33389
205,91342,81986
206,91343,57017
207,91344,48867
208,91345,17112
209,91350,40077
210,91351,59259
211,91352,46639
212,91354,17846
213,91355,24977
214,91356,27424
215,91360,42526
216,91361,18735
217,91362,33057
218,91364,25988
219,91367,36123
220,91377,14814
221,91381,9937
222,91384,22177
223,91401,40376
224,91402,66249
225,91403,22085
226,91405,51348
227,91406,50047
228,91411,23646
229,91423,29387
230,91436,13129
231,91501,18112
232,91502,11517
233,91504,25882
234,91505,29245
235,91506,18539
236,91601,36625
237,91602,16996
238,91604,26157
239,91605,57146
240,91606,45358
241,91607,27453
242,91701,39064
243,91702,57775
244,91706,76890
245,91709,66754
246,91710,75319
247,91711,34716
248,91722,33817
249,91723,17554
250,91724,25068
251,91730,51970
252,91731,30211
253,91732,62660
254,91733,45645
255,91737,23079
256,91739,12937
257,91740,25135
258,91741,24973
259,91743,13
260,91744,84965
261,91745,53686
262,91746,30802
263,91748,46342
264,91750,35530
265,91752,18980
266,91754,33280
267,91755,26933
268,91759,47
269,91761,56280
270,91762,54254
271,91763,34447
272,91764,49474
273,91765,46532
274,91766,69974
275,91767,46626
276,91768,36057
277,91770,61623
278,91773,33878
279,91775,23444
280,91776,38041
281,91780,32718
282,91784,23331
283,91786,48827
284,91789,45118
285,91790,44099
286,91791,30458
287,91792,31622
288,91801,54382
289,91803,30635
290,91901,16486
291,91902,17389
292,91905,1509
293,91906,3133
294,91910,74025
295,91911,71126
296,91913,12884
297,91914,2606
298,91915,9278
299,91916,1587
300,91917,727
301,91931,796
302,91932,26662
303,91934,699
304,91935,8759
305,91941,44652
306,91942,24005
307,91945,24961
308,91948,81
309,91950,62355
310,91962,1604
311,91963,905
312,91977,56100
313,91978,7863
314,91980,91
315,92003,3849
316,92004,2863
317,92007,10375
318,92008,35582
319,92009,43161
320,92014,13945
321,92019,40995
322,92020,55277
323,92021,61872
324,92024,47126
325,92025,49281
326,92026,43436
327,92027,48690
328,92028,42239
329,92029,17944
330,92036,3577
331,92037,42617
332,92040,42277
333,92054,98239
334,92056,52895
335,92057,46893
336,92059,1831
337,92060,234
338,92061,2615
339,92064,47969
340,92065,33104
341,92066,339
342,92067,7615
343,92069,52664
344,92070,1143
345,92071,53510
346,92075,12173
347,92078,6760
348,92082,14575
349,92083,62036
350,92084,44692
351,92086,1205
352,92091,1072
353,92101,27505
354,92102,47140
355,92103,30202
356,92104,47689
357,92105,73006
358,92106,18525
359,92107,27959
360,92108,11650
361,92109,46086
362,92110,24169
363,92111,46828
364,92113,47431
365,92114,66838
366,92115,56887
367,92116,33083
368,92117,51213
369,92118,24093
370,92119,21866
371,92120,25569
372,92121,4258
373,92122,34902
374,92123,25232
375,92124,30206
376,92126,74232
377,92127,20046
378,92128,42733
379,92129,47224
380,92130,28201
