Customer ID,Count,Quarter,Customer Status,Churn Label,Churn Value,Churn Category,Churn Reason
8779-QRDMV,1,Q3,Churned,Yes,1,Competitor,Competitor offered more data
7495-OOKFY,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1658-BYGOY,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4598-XLKNJ,1,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
4846-WHAFZ,1,Q3,Churned,Yes,1,Price,Extra data charges
4412-YLTKF,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0390-DCFDQ,1,Q3,Churned,Yes,1,Other,Don't know
3445-HXXGF,1,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,1,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
2070-FNEXE,1,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
0094-OIFMO,1,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
9947-OTFQU,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9514-JDSKI,1,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
7273-TEFQD,1,Q3,Churned,Yes,1,Price,Long distance charges
3606-TWKGI,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4385-GZQXV,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3488-PGMQJ,1,Q3,Churned,Yes,1,Dissatisfaction,Poor expertise of online support
7534-BFESC,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8098-LLAZX,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0265-EDXBD,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
2840-XANRC,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5020-ZSTTY,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5804-LEPIM,1,Q3,Churned,Yes,1,Other,Don't know
0623-IIHUG,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9057-MSWCO,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4895-TMWIR,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0533-BNWKF,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0334-GDDSO,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5564-NEMQO,1,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
6235-VDHOM,1,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
5609-CEBID,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5956-VKDTT,1,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
0257-ZESQC,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
2865-TCHJW,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5192-EBGOV,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3419-SNJJD,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
4554-YGZIH,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5099-BAILX,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4913-EHYUI,1,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
1626-ERCMM,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5644-PDMZC,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
4160-AMJTL,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
0823-HSCDJ,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0067-DKWBL,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5244-IRFIH,1,Q3,Churned,Yes,1,Other,Poor expertise of online support
2684-EIWEO,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6683-VLCTZ,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0691-IFBQW,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3643-AHCFP,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9231-ZJYAM,1,Q3,Churned,Yes,1,Other,Moved
0727-BMPLR,1,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
0947-MUGVO,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0781-LKXBR,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1907-UBQFC,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6513-EECDB,1,Q3,Churned,Yes,1,Price,Price too high
7074-IEVOJ,1,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7028-DVOIQ,1,Q3,Churned,Yes,1,Other,Don't know
4208-UFFGW,1,Q3,Churned,Yes,1,Other,Don't know
9889-TMAHG,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8919-FYFQZ,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6646-QVXLR,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9369-XFEHK,1,Q3,Churned,Yes,1,Competitor,Competitor offered more data
1374-DMZUI,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1989-PRJHP,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4822-RVYBB,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
4184-TJFAN,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
4145-UQXUQ,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1236-WFCDV,1,Q3,Churned,Yes,1,Competitor,Competitor offered more data
1271-SJBGZ,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4441-NIHPT,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8999-BOHSE,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
7029-RPUAV,1,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8111-SLLHI,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
5293-WXJAK,1,Q3,Churned,Yes,1,Competitor,Competitor offered more data
4086-YQSNZ,1,Q3,Churned,Yes,1,Attitude,Attitude of service provider
8399-YNDCH,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5565-FILXA,1,Q3,Churned,Yes,1,Other,Don't know
4187-CINZD,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6818-WOBHJ,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9134-CEQMF,1,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
8519-IMDHU,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3372-KWFBM,1,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
7206-GZCDC,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
1768-ZAIFU,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3793-MMFUH,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6567-HOOPW,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8621-MNIHH,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5419-CONWX,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7024-OHCCK,1,Q3,Churned,Yes,1,Other,Poor expertise of online support
5357-TZHPP,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
0506-LVNGN,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9809-IMGCQ,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3254-YRILK,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0529-ONKER,1,Q3,Churned,Yes,1,Attitude,Attitude of support person
5240-IJOQT,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0661-XEYAN,1,Q3,Churned,Yes,1,Competitor,Competitor had better devices
2660-EMUBI,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7675-OZCZG,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9391-EOYLI,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2761-OCIAX,1,Q3,Churned,Yes,1,Competitor,Competitor made better offer
